Tipo;Producto;AlfaBeta;Troquel;CodBarraPrinc;Laboratorio;Precio;Neto;CadenaFrio;RequiereVale;Trazable;CodKellerhoff
D; TREGINAX 100 MG CPR DISPER X 30;32427;5094891;7795349501525;ARISTON S.A.C.I.F. QUIMIC;47364,18;0;0;0;0;1000028685
D;+50 CPR X 30;48773;9948773;7790839000267;ISA-INSTITUTO SEROTERAPIC;7314,91;1;0;0;0;1000008760
D;102 AÑOS PLUS CPR X 30;30940;9930940;7791984000485;GRAMON MILLET S.A.;11411,57;1;0;0;0;1000008761
D;102 AÑOS PLUS CPR X 60;33894;9933894;7791984000492;GRAMON MILLET S.A.;19858,40;1;0;0;0;1000008762
D;102 AÑOS PLUS CPR X 90;41040;9941040;7791984000508;GRAMON MILLET S.A.;28069,76;1;0;0;0;1000008763
D;102 AÑOS PLUS SOB X 15;38177;9938177;7791984000515;GRAMON MILLET S.A.;9564,34;1;0;0;0;1000008764
D;102 FOCUS CPR REC X 30;63834;9963834;7791984001727;GRAMON MILLET S.A.;14951,01;1;0;0;0;1000027423
D;102 HOMBRE +50 CPR REC X 30;64475;9964475;7791984001970;GRAMON MILLET S.A.;14347,84;1;0;0;0;1000028748
D;102 MAGNESIO CITRATO CPR REC X 30;63462;9963462;7791984001758;GRAMON MILLET S.A.;10683,90;1;0;0;0;1000026169
D;102 MAGNESIO CPR REC X 30;62383;9962383;7791984001512;GRAMON MILLET S.A.;10150,73;1;0;0;0;1000024202
D;102 MAGNESIO GUMMIES FCO X 90;62384;9962384;7791984001529;GRAMON MILLET S.A.;12669,92;1;0;0;0;1000024203
D;102 MUJER +50 CPR REC X 30;64476;9964476;7791984001987;GRAMON MILLET S.A.;14347,84;1;0;0;0;1000028747
D;102 MUJER CAP BLANDAS X 30;55785;9955785;7791984001154;GRAMON MILLET S.A.;13720,86;1;0;0;0;1000008765
D;102 SPORT BCAA SOB X 30;61210;9961210;7791984001192;GRAMON MILLET S.A.;24697,13;1;0;0;0;1000008766
D;102 SPORT MAX SOB X 30;52705;9952705;7791984000539;GRAMON MILLET S.A.;30054,21;1;0;0;0;1000008767
D;102 VIT C CPR REC X 30;63460;9963460;7791984001710;GRAMON MILLET S.A.;11339,92;1;0;0;0;1000026243
D;102 VIT C SOB X 30;63461;9963461;7791984001635;GRAMON MILLET S.A.;12847,66;1;0;0;0;1000026244
