Producto;CodBarraPrinc;Precio;Neto;PrecioPublico
 TREGINAX 100 MG CPR DISPER X 30;7795349501525;50312,47;0;50312,47
+50 CPR X 30;7790839000267;8602,44;1;14366,0748
102 AÃ‘OS PLUS CPR X 30;7791984000485;12592,61;1;21029,6587
102 AÃ‘OS PLUS CPR X 60;7791984000492;21179,78;1;35370,2326
102 AÃ‘OS PLUS CPR X 90;7791984002021;30083,56;1;50239,5452
102 AÃ‘OS PLUS SOB X 15;7791984000515;10150,51;1;16951,3517
102 FOCUS CPR REC X 30;7791984001727;16182,3;1;27024,441
102 HOMBRE +50 CPR REC X 30;7791984001970;14928,59;1;24930,7453
102 MAGNESIO CITRATO CPR REC X 30;7791984001758;11507,67;1;19217,8089
102 MAGNESIO CPR REC X 30;7791984001512;10987,25;1;18348,7075
102 MAGNESIO GUMMIES FCO X 90;7791984001529;13660,54;1;22813,1018
102 MUJER +50 CPR REC X 30;7791984001987;14928,59;1;24930,7453
102 MUJER CAP BLANDAS X 30;7791984001154;14633,5;1;24437,945
102 SPORT BCAA SOB X 30;7791984001192;26465,74;1;44197,7858
102 SPORT MAX SOB X 30;7791984000539;31271,48;1;52223,3716
102 VIT C CPR REC X 30;7791984001710;11858,79;1;19804,1793
102 VIT C SOB X 30;7791984001635;13568,54;1;22659,4618
3TC SOL ORAL X 240 ML;7798365530999;117730,81;0;117730,81
4X4 50 MG CPR X 4;7790839980248;7210;0;7210
5 ASA 1000 MG SOB X 30;7795327064622;221678,22;0;221678,22
5 ASA 1000 MG SUPOS X 30;7795327065919;257600,27;0;257600,27
5 ASA 2000 MG SOB X 30;7795327064639;397497,97;0;397497,97
5 ASA 400 MG CPR X 30;7795327061164;112468,69;0;112468,69
5 ASA 400 MG CPR X 60;7795327061171;213849,36;0;213849,36
5 ASA 400 MG SUPOS X 10;7795327061188;44251,83;0;44251,83
5 ASA 400 MG SUPOS X 30;7795327061195;126674,14;0;126674,14
5 ASA 4000 MG SOB X 30;7795327065742;662325,74;0;662325,74
5 ASA 500 MG CPR X 30;7795327063625;116009,05;0;116009,05
5 ASA 500 MG CPR X 60;7795327063632;208822,41;0;208822,41
5 ASA 800 MG CPR X 30;7795327063670;168147,15;0;168147,15
5 ASA 800 MG CPR X 60;7795327063687;290787,6;0;290787,6
5 FU UNG X 20 GR;7795373003538;67170;0;67170
5 XR 1000 MG CPR X 30;7795349500924;190895,76;0;190895,76
5 XR 1000 MG CPR X 60;7795349500931;377833,64;0;377833,64
5 XR 500 MG CPR X 100;7795349000189;316500,95;0;316500,95
5 XR 500 MG CPR X 50;7795349000172;164661,02;0;164661,02
8 HORAS 2 MG CPR X 30;7796285053147;27126;0;27126
8 HORAS 3 MG CPR X 30;7796285053154;33905,88;0;33905,88
ABARAX 100 MG CPR X 100;7796285272616;119322,41;0;119322,41
ABARAX 50 MG CPR X 100;7796285272623;74379,66;0;74379,66
ABAXON 10 MG CPR X 10;7795345123370;53359;0;53359
ABAXON 10 MG CPR X 30;7795345123387;136915;0;136915
ABAXON 15 MG CPR X 30;7795345123394;130260;0;130260
ABAXON 2,5 MG CPR X 30;7795345123363;70463;0;70463
ABAXON 20 MG CPR X 30;7795345123400;140982;0;140982
ABRALUX CR X 60 GR;7798095330043;22473,86;1;37531,3462
ABRYSVO FCO AMP X 1;5415062115848;412157,03;0;412157,03
ACALIX 120 CPR X 50;7795345006130;34617;0;34617
ACALIX 25 INY X 1;7795345003412;21107;0;21107
ACALIX 60 CPR X 50;7795345002811;14069;0;14069
ACALIX AP 120 CAP X 30;7795345001968;32950;0;32950
ACALIX CRONOS 180 MG CAP X 30;7795345013541;34447;0;34447
ACALIX CRONOS 240 MG CAP X 30;7795345013558;49833;0;49833
ACALIX CRONOS 300 MG CAP X 30;7795345013565;55865;0;55865
ACANTEX MUS 1000 MG AMP X 1;7798129414510;27597,14;0;27597,14
ACANTEX MUS 500 MG AMP X 1;7798129414503;14292,01;0;14292,01
